Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0027303,-2.2204E-16,0.10667,0,0,0,80,0.60223,-1.5711E-15,2.7179E-16,3.091,5.6748E-16,3.4663,0,0,0,0,0,0,package://ca2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ca2/meshes/base_link.STL,,body-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,0,0.12,0,0,0,0,2.5,0.13237,1.9682E-18,-1.7581E-19,0.13869,-1.2933E-19,0.13237,0,0,0,0,0,0,package://ca2/meshes/wheel1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ca2/meshes/wheel1.STL,,w1-1,Origin_wheel1j,Axis_wheel1j,wheel1j,continuous,0.695,0.3065,-0.006,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
wheel2,0,-0.12,0,0,0,0,2.5,0.13237,2.9784E-18,-3.1171E-19,0.13869,-2.6633E-18,0.13237,0,0,0,0,0,0,package://ca2/meshes/wheel2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ca2/meshes/wheel2.STL,,w2-1,Origin_wheel2j,Axis_wheel2j,wheel2j,continuous,0.695,-0.3065,-0.006,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
wheel3,0,0.12,0,0,0,0,2.5,0.13237,-1.9516E-18,-1.743E-18,0.13869,3.9031E-18,0.13237,0,0,0,0,0,0,package://ca2/meshes/wheel3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ca2/meshes/wheel3.STL,,w3-1,Origin_wheel3j,Axis_wheel3j,wheel3j,continuous,-0.695,0.3065,-0.006,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
wheel4,-6.9389E-18,-0.12,0,0,0,0,2.5,0.13237,-9.4791E-19,-9.581E-19,0.13869,-2.0908E-19,0.13237,0,0,0,0,0,0,package://ca2/meshes/wheel4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ca2/meshes/wheel4.STL,,w4-1,Origin_wheel4j,Axis_wheel4j,wheel4j,continuous,-0.695,-0.3065,-0.006,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
lidar,2.2204E-16,0,0.018388,0,0,0,0.2,8.9507E-05,2.5058E-21,3.2972E-21,8.9507E-05,-8.5569E-24,0.00013587,0,0,0,0,0,0,package://ca2/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ca2/meshes/lidar.STL,,lidar-1,Origin_lidarj,Axis_lidarj,lidarj,fixed,0.815,0,0.258,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
